Filing Date,Trade Date,Action Date,performance_check_month,performance_check_2_weeks,classification_check_month,classification_check_2_weeks,filing_check_month,Filing Quarter,Difference btw. filing and trade date,Ticker,Title,Delta own,Value,Title Conv.,Delta Own Conv.,Sector,One Month Prior Performance,2-Week Prior Performance,One Month Prior Market Performance,2-Week Prior Index Performance,One Month Prior Volatility Change,2-Week Prior Volatility Change,Number of Recent Transactions,Days Since Last Recent Transaction,Trade Day of Week,Filing Day of Week,Return if exited at the 75th percentile midpoint of daily price action,Return if exited at the 75th percentile open of daily price action,Days to midpoint exit,Days to open exit
2022-07-13,2022-07-13,2022-07-14,2022-06-14,2022-06-29,2022-08-11,2022-07-28,2022-04-18,3,2.7,RKT,CEO,2%,599316,0.0,0.02,Financial Services,0.17728535277067825,0.15961802025536614,0.0071368992703260345,-0.009074349696497268,-0.08333332229543586,-0.08333332229543586,24,5,2,2,0.10457142421177455,0.11428571428571428,12.0,13.0
2022-07-13,2022-07-13,2022-07-14,2022-06-14,2022-06-29,2022-08-11,2022-07-28,2022-04-18,3,0.62,PLAY,CEO,226%,1020096,0.0,2.26,Communication Services,-0.08859297313786121,-0.06476530941943504,0.0071368992703260345,-0.009074349696497268,-0.08333332229543586,-0.08333332229543586,0,-1,2,2,0.26892844640059693,0.2589028419127409,14.0,16.0
2022-07-11,2022-07-11,2022-07-12,2022-06-10,2022-06-27,2022-08-09,2022-07-26,2022-04-13,3,4.71,NILE,"Exec COB, 10%",4%,443134,3.0,0.04,Industrials,0.10344828294942289,0.14285711244660995,-0.039148107748701845,-0.026005152236694782,-0.03568898758875406,-0.03568898758875406,7,4,0,0,0.06451611507695633,0.03225803350434739,8.0,2.0
2022-07-08,2022-07-08,2022-07-11,2022-06-09,2022-06-24,2022-08-08,2022-07-25,2022-04-12,3,1.7,RKT,CEO,1%,399280,0.0,0.01,Financial Services,-0.00808310578032365,0.14533335367838543,-0.060273298938034535,0.008551038566265455,-0.09975918985119925,-0.09975918985119925,24,2,4,4,0.1413301717859647,0.1401425527890443,13.0,10.0
2022-07-07,2022-07-07,2022-07-08,2022-06-08,2022-06-23,2022-08-05,2022-07-22,2022-04-11,3,1.71,NILE,"Exec COB, 10%",3%,311546,3.0,0.03,Industrials,0.09090909090909091,0.24137939539307465,-0.05973789699224165,0.03302768243524505,-0.15875730216907666,-0.15875730216907666,6,1,3,3,-0.05714284619506506,-0.05714280362031807,1.0,7.0
2022-07-07,2022-07-07,2022-07-08,2022-06-08,2022-06-23,2022-08-05,2022-07-22,2022-04-11,3,1.66,RFL,Exec COB,484%,5999999,3.0,4.84,Real Estate,0.05882359128509954,0.08000004291534424,-0.05973789699224165,0.03302768243524505,-0.15875730216907666,-0.15875730216907666,0,-1,3,3,0.03935181275930089,0.023148125152529935,10.0,6.0
2022-07-06,2022-07-06,2022-07-07,2022-06-07,2022-06-22,2022-08-04,2022-07-21,2022-04-08,3,1.71,NILE,"Exec COB, 10%",5%,392399,3.0,0.05,Industrials,0.029411736347271383,0.2499999733907837,-0.04732125158723849,0.04518885919607889,-0.1707472403486039,-0.1707472403486039,5,1,2,2,0.01515145494480565,0.0,7.0,0.0
2022-07-06,2022-07-06,2022-07-07,2022-06-07,2022-06-22,2022-08-04,2022-07-21,2022-04-08,3,1.71,RKT,CEO,2%,398214,0.0,0.02,Financial Services,0.05421684324386681,0.31777111083455195,-0.04732125158723849,0.04518885919607889,-0.1707472403486039,-0.1707472403486039,24,5,2,2,0.11744182642374143,0.1162790646096578,15.0,12.0
2022-07-05,2022-07-05,2022-07-06,2022-06-06,2022-06-21,2022-08-03,2022-07-20,2022-04-07,3,4.71,NILE,"Exec COB, 10%",4%,330619,3.0,0.04,Industrials,-0.10810808416175734,0.13793111244365178,-0.07005072209697154,0.03492844943885198,-0.12732614186701352,-0.12732614186701352,4,32,1,1,0.01515145494480565,0.0,8.0,0.0
2022-07-05,2022-07-05,2022-07-06,2022-06-06,2022-06-21,2022-08-03,2022-07-20,2022-04-07,3,5.7,XAIR,"CEO, COB",5%,483698,0.0,0.05,Healthcare,0.6852792377834478,0.7945945397937348,-0.07005072209697154,0.03492844943885198,-0.12732614186701352,-0.12732614186701352,0,-1,1,1,0.1247127056058841,0.14367816406947528,4.0,5.0
2022-07-05,2022-07-05,2022-07-06,2022-06-06,2022-06-21,2022-08-03,2022-07-20,2022-04-07,3,4.68,NEE,"Pres, CEO",10%,1011162,0.0,0.1,Utilities,-0.019953248744909217,0.12386999157537394,-0.07005072209697154,0.03492844943885198,-0.12732614186701352,-0.12732614186701352,0,-1,1,1,0.010414139359067584,0.01066510769525239,12.0,4.0
2022-07-05,2022-07-05,2022-07-06,2022-06-06,2022-06-21,2022-08-03,2022-07-20,2022-04-07,3,5.25,IE,CEO,1%,1544475,0.0,0.01,Basic Materials,,,-0.07005072209697154,0.03492844943885198,-0.12732614186701352,-0.12732614186701352,0,-1,1,1,,,,
